incident_type,description_length,has_media,upvotes,flags,duplicate_score,injuries_reported,people_involved,distance_to_responder,near_sensitive_location,time_of_day,priority_score
power_outage,115,1,0,0,0.37612240501997907,0,3,2.7794761958228023,0,night,36
flood,53,1,2,0,0.0,0,2,8.468186285236289,0,night,13
road_accident,54,0,2,1,0.4554072207521723,1,3,1.46304221143947,0,morning,55
road_accident,75,0,2,1,0.0,0,3,1.2241630145614169,0,night,53
violence,94,1,1,0,0.12626959073641486,0,5,2.180739960410202,0,night,46
medical_emergency,43,0,2,0,0.42248469957206564,1,7,2.143363131658361,1,morning,92
flood,114,0,4,1,0.0,0,6,8.027184589615079,1,evening,28
violence,21,1,1,0,0.35165250136190074,1,4,5.1609092855123215,0,afternoon,48
medical_emergency,103,1,2,0,0.16196642893308355,1,6,0.6599248492845229,0,evening,97
fire,29,0,4,0,0.2791074886415321,0,2,3.2837183356003727,0,afternoon,44
gas_leak,96,1,0,0,0.37976062101695696,0,5,2.9871867737182716,0,evening,62
medical_emergency,60,1,1,0,0.4435040962814105,1,3,2.4735370433538915,0,morning,80
road_accident,62,1,2,1,0.1874573906810759,0,7,3.360020957615802,0,evening,63
road_accident,78,0,0,0,0.062111863567928055,0,3,2.485212488903724,0,afternoon,32
flood,95,1,1,0,0.0,0,2,0.8996396086499181,0,night,42
power_outage,17,1,2,0,0.17254998737294386,1,5,2.7388421720145204,1,afternoon,65
power_outage,106,1,3,0,0.2891614676298414,0,7,2.8745617567826556,0,night,46
fire,39,0,1,1,0.04651669707808889,0,4,3.920834172299756,0,evening,57
medical_emergency,33,1,1,1,0.0,1,3,0.708877650945019,0,morning,85
road_accident,55,1,0,0,0.0,0,5,6.634181010569936,1,night,52
gas_leak,18,0,1,0,0.1971237002808955,0,7,5.352946116471523,0,morning,52
gas_leak,106,0,2,0,0.3042071567428223,1,5,4.512093112493026,1,afternoon,71
gas_leak,38,1,1,0,0.3191896653999263,0,6,2.3634487627277627,1,evening,68
flood,98,0,2,1,0.31095597886665205,0,2,4.435293142770187,0,afternoon,8
road_accident,69,0,0,1,0.010404861347816763,0,5,3.262094221138883,0,afternoon,46
gas_leak,98,1,3,1,0.23931001775795135,0,5,6.335499535453865,0,afternoon,51
violence,87,1,3,2,0.18709385686865132,1,6,2.598552845621804,0,morning,74
gas_leak,89,0,2,0,0.36235691935790276,0,4,6.986485714931687,0,night,38
fire,99,0,2,1,0.13020287911282596,0,2,7.6565097683572025,0,night,42
road_accident,100,1,2,0,0.0,0,6,5.739005727441588,1,night,66
medical_emergency,51,0,3,0,0.30816890852811074,0,7,1.1752087830527964,0,evening,66
flood,103,1,1,1,0.10867972583378327,0,4,1.5643459362048997,1,evening,53
power_outage,116,0,0,0,0.12810799349110158,0,1,2.4505375552897233,0,evening,21
power_outage,104,0,1,0,0.30126727071711246,0,6,0.11338163044483407,0,evening,42
power_outage,52,0,2,1,0.3952689932280995,0,1,4.939906487317629,1,morning,12
road_accident,62,0,0,0,0.27557907069110704,1,6,3.7216668013559655,0,afternoon,59
gas_leak,31,0,2,0,0.0,0,2,1.3043208838925144,1,night,66
gas_leak,41,0,0,1,0.12708327516735068,0,5,5.041526036181888,1,evening,50
road_accident,78,1,4,0,0.23794671403265438,0,6,3.2243968244038173,0,evening,67
gas_leak,44,1,1,0,0.4621218551935978,1,2,3.3815306352567314,0,night,68
road_accident,54,0,1,0,0.20583131846304417,1,1,3.9619397673541887,0,evening,66
infrastructure_failure,19,0,4,0,0.1101549887353342,0,1,6.133769659945278,0,night,17
flood,114,0,3,1,0.16628524763691976,0,2,5.285752257549184,0,afternoon,14
gas_leak,74,1,1,0,0.01976336224436598,0,7,1.4711844080504193,1,afternoon,69
violence,76,1,3,0,0.0,0,2,4.26145812335499,0,morning,47
fire,72,1,1,1,0.16705561103461203,0,7,2.188869728409888,0,evening,73
flood,8,1,2,1,0.08674181308470039,0,6,5.313026373082553,0,afternoon,27
fire,25,1,0,0,0.20191452830276263,1,2,0.5607936366431585,0,afternoon,63
violence,90,1,2,2,0.3285625668849071,1,7,4.028959893447941,0,afternoon,70
flood,8,0,2,0,0.2826620199758898,0,5,3.0412057949464937,0,evening,28
fire,26,1,3,1,0.094588069670169,0,2,4.516002640503056,0,afternoon,46
violence,74,0,1,0,0.7329565442833481,0,6,5.2652953691602615,0,evening,35
violence,104,1,5,0,0.1238490918153597,0,4,5.450651710991339,0,morning,39
power_outage,112,1,0,0,0.0,0,2,1.6348502889221361,1,morning,31
infrastructure_failure,106,1,2,0,0.06412408461705424,0,7,5.264762081487701,1,night,51
power_outage,18,1,7,0,0.31313322453813863,0,5,0.9839462407398551,0,evening,44
power_outage,53,1,1,0,0.35217044899005306,1,4,1.7441638555854182,0,night,52
medical_emergency,74,1,5,1,0.12043331328982243,0,4,5.827886217211212,0,morning,44
power_outage,54,1,1,0,0.08467670117043184,0,4,4.089670371589156,0,evening,24
flood,101,0,2,0,0.08029221975690928,0,7,6.171219222073002,1,evening,47
fire,103,1,1,0,0.0,0,3,3.5236226403032256,0,evening,62
violence,115,1,0,0,0.05917629394964119,0,2,5.376963674109022,0,night,53
violence,85,1,0,0,0.25914551742750963,0,2,5.932572066855245,0,afternoon,32
road_accident,82,1,2,2,0.13379878521721006,1,7,5.045573290654483,0,night,75
gas_leak,56,1,2,0,0.2219705983230913,0,6,5.194049471687557,0,night,62
gas_leak,39,0,0,1,0.2351138465760684,0,2,4.682453150134143,0,afternoon,33
flood,53,0,3,0,0.34875259711949447,0,6,4.897022124322195,0,morning,22
infrastructure_failure,82,0,4,0,0.22131242474009952,0,3,5.3043629868695215,0,evening,19
gas_leak,71,0,3,0,0.0,0,1,0.7514949950961238,0,afternoon,42
medical_emergency,9,0,2,1,0.0,0,7,4.189417149781316,1,evening,70
fire,103,0,5,0,0.33984770462386915,0,4,8.436626806106709,0,night,31
gas_leak,30,1,2,0,0.0,1,3,4.2095102526377906,0,evening,77
flood,86,1,1,1,0.03295664155659023,0,2,0.04287600365573896,1,afternoon,32
road_accident,75,1,4,0,0.0,1,5,5.193043316318216,0,evening,69
medical_emergency,119,0,1,0,0.25589784438756874,0,3,5.664891196389856,0,evening,55
fire,84,1,1,0,0.3838489650349769,0,1,6.495755650044729,0,evening,50
road_accident,94,0,4,0,0.06109225632949339,0,4,2.186975786145431,0,night,48
flood,86,0,1,0,0.3491399411656201,0,5,1.1054495484971247,0,night,25
violence,106,1,4,1,0.01513719411890993,0,6,6.58995024678498,0,morning,57
fire,69,0,0,1,0.4504562036365238,0,4,3.575907843509647,1,evening,43
medical_emergency,25,1,2,0,0.03490351757630547,1,4,3.0365261610286423,0,afternoon,71
violence,103,1,3,0,0.031214200422077815,0,6,0.49163465872881007,0,morning,58
flood,16,0,1,1,0.08998811263652114,0,4,4.178547907815678,1,evening,33
road_accident,106,1,4,0,0.13061121663577552,0,3,1.0570297945439462,1,evening,64
gas_leak,92,0,1,0,0.12744814375339003,0,5,5.645743998429612,1,afternoon,57
violence,31,1,2,0,0.10553338839887409,1,4,1.086446354651768,0,morning,70
gas_leak,66,0,1,0,0.31460062766524977,0,7,0.980393219547893,1,night,79
violence,17,0,7,0,0.3994468777069484,0,1,6.078589556948157,1,evening,61
medical_emergency,69,1,2,0,0.31562580656903205,0,4,1.0432487121273444,0,night,75
gas_leak,44,1,3,0,0.081982481333415,0,4,1.2020523783580632,0,afternoon,55
fire,69,1,0,0,0.08027570186277846,0,1,2.4863530325476315,0,morning,47
gas_leak,33,1,1,0,0.11773427252030678,0,3,2.5676422947264315,0,night,65
fire,55,1,4,0,0.374025278765098,1,1,3.8233258076684953,0,morning,75
road_accident,61,0,3,0,0.16543175588784406,0,6,4.946977457142689,1,afternoon,53
power_outage,63,1,0,0,0.18801892126199776,1,6,5.4204523086660075,1,afternoon,72
fire,74,1,1,0,0.060524572477162836,0,4,5.087488050908737,0,evening,57
fire,111,1,5,0,0.1959736048618988,0,2,2.1229847610938757,0,night,57
flood,94,0,1,0,0.11779442929581567,0,6,4.245785730380724,1,evening,31
power_outage,85,0,2,0,0.06940720127354291,0,5,1.7992917049734876,0,night,41
road_accident,20,1,8,0,0.4201540361563758,0,7,4.652861923847617,0,night,76
flood,98,0,1,0,0.45117813479585334,1,6,2.016524152629393,0,afternoon,51
gas_leak,49,1,2,0,0.2816948282519648,0,4,7.362347247223181,0,afternoon,54
fire,45,1,2,1,0.0,1,2,2.7611619009094017,1,night,87
flood,77,0,1,0,0.2601050402707942,0,5,0.8473710539722412,0,evening,38
road_accident,62,0,3,0,0.5550220062347959,0,3,0.21357814426280486,0,morning,44
violence,92,0,1,0,0.22158846024911122,1,4,1.315134187595162,0,morning,64
flood,50,0,2,1,0.0,0,4,3.2582989291757416,0,afternoon,21
fire,78,1,2,0,0.15033521532148816,0,3,0.25221349997913256,0,afternoon,69
road_accident,49,0,0,0,0.3074341094352848,0,6,2.5576998328449374,0,evening,50
fire,96,1,1,0,0.20714848790953425,0,1,0.36967080281457987,0,night,61
gas_leak,35,0,4,1,0.14418221719217172,0,6,1.8948703998563354,0,evening,68
violence,61,1,2,0,0.03625583808649982,1,3,5.170900082535469,0,afternoon,60
violence,93,1,0,0,0.0,1,2,4.098987617365661,0,morning,62
fire,97,0,3,0,0.0,0,1,0.7278633072118392,1,night,66
flood,72,1,1,0,0.36084656731366305,0,6,0.9103530634481194,0,night,52
gas_leak,27,1,0,1,0.6086890208470197,0,2,3.618429414108389,0,afternoon,31
fire,61,1,0,0,0.10995301701439841,0,2,1.7470478973856762,0,afternoon,52
violence,50,1,0,0,0.08183582546134083,0,7,3.7883214394002866,0,morning,51
road_accident,60,1,2,0,0.11634189969588903,0,2,3.8882652040584964,0,morning,45
gas_leak,55,0,1,1,0.38286870024144015,0,1,2.612564558868898,0,night,50
road_accident,94,1,1,0,0.3794635480847186,0,4,1.8806599623692686,0,evening,51
medical_emergency,86,0,5,0,0.33318992924827695,0,1,7.1954442408873645,1,afternoon,37
infrastructure_failure,29,0,4,0,0.2893851543504095,0,2,3.1913773266137895,0,afternoon,17
flood,29,1,2,0,0.13548735640768006,0,6,0.8050002449478884,1,morning,46
infrastructure_failure,46,0,2,0,0.5554641439376017,0,7,2.9337010641930856,1,night,41
infrastructure_failure,35,1,2,1,0.012940370481662106,0,7,5.299559397798495,0,afternoon,23
medical_emergency,42,0,0,0,0.38403846774706873,0,6,2.0173729691413094,1,morning,69
power_outage,47,1,4,1,0.2332368331173448,1,3,5.149532306194816,0,afternoon,43
medical_emergency,55,1,3,0,0.0,0,5,4.858018623738624,0,afternoon,58
gas_leak,85,0,3,1,0.41514683042566414,1,4,0.19409448213215574,0,night,85
infrastructure_failure,37,0,1,0,0.0,0,3,4.828149141269781,0,morning,19
violence,97,1,3,0,0.04256483345335024,1,4,0.17568112539169523,0,afternoon,79
flood,59,0,2,1,0.06281447466141624,0,3,2.019608269579316,0,afternoon,25
fire,111,1,2,0,0.12411045464399849,1,4,4.877135044975179,0,morning,70
fire,13,1,4,1,0.19709050976862214,0,4,2.400280653096126,0,night,65
violence,45,1,3,0,0.44917501412979915,1,6,2.3117792101782917,0,night,82
power_outage,90,0,4,1,0.35312949100291646,0,7,4.083922530062645,0,evening,30
road_accident,82,1,0,1,0.42679734220319937,0,1,5.374178764005496,0,morning,34
violence,21,1,1,0,0.32015865446659925,1,3,6.321159924517204,1,evening,90
gas_leak,79,0,0,0,0.42376797413523337,0,4,6.453486374666795,0,night,40
gas_leak,32,1,2,0,0.20222571712457588,0,1,0.6784977405449499,1,morning,60
flood,78,0,2,0,0.3220916367272916,1,3,2.683968275470437,0,evening,34
violence,29,0,5,0,0.0864959307830624,1,6,5.103879168259983,0,evening,84
infrastructure_failure,113,0,0,2,0.12244893340864352,0,6,6.483478519111685,0,morning,11
road_accident,53,1,0,1,0.030797132217724288,0,2,7.270636760939386,1,morning,41
infrastructure_failure,97,1,1,0,0.5462069383513657,0,5,5.023092062009539,0,morning,20
medical_emergency,37,1,1,0,0.04962614916947153,0,2,5.095725630365313,0,morning,51
medical_emergency,25,1,3,0,0.11923477712849286,1,3,4.0153703818048845,1,afternoon,88
gas_leak,64,0,0,0,0.31881718289546823,0,1,1.2648887409719518,0,afternoon,38
fire,105,0,0,0,0.020018847395341988,0,6,8.325925754342158,0,afternoon,42
flood,30,1,3,0,0.2899976673677317,0,1,3.016668746723811,1,afternoon,31
flood,75,0,2,0,0.17282846868561114,0,7,1.6305035435005726,0,evening,21
flood,90,0,2,1,0.2980248321428531,0,4,4.7807833257792876,0,afternoon,19
road_accident,66,1,3,0,0.3408887243909906,0,6,0.6433966081885485,1,evening,73
violence,24,1,1,0,0.07602965182563082,1,7,1.9403181310641155,1,afternoon,97
power_outage,77,1,0,0,0.19603067577376518,0,6,4.9555155192246865,0,evening,33
power_outage,88,1,5,0,0.3035194077781587,0,5,5.219897661464667,1,evening,53
fire,23,1,4,1,0.17017956312866278,0,6,3.568421447849242,1,afternoon,70
infrastructure_failure,97,1,4,0,0.33816621385099277,1,2,2.654484500910701,0,night,50
fire,119,1,5,0,0.0,0,7,0.9069276801454516,1,evening,88
medical_emergency,54,1,1,0,0.3533857537524514,0,3,3.5516325090437553,1,night,74
gas_leak,86,1,2,0,0.44336708587537865,0,4,8.118696545105522,0,morning,39
infrastructure_failure,117,0,1,0,0.46167877189253326,0,6,5.766549326733047,1,afternoon,27
flood,93,1,2,2,0.42749369118382174,0,4,1.2781007541124483,0,afternoon,35
medical_emergency,39,1,2,0,0.2840451386222721,0,6,4.023976873507182,1,morning,62
violence,109,0,1,1,0.41766151650030886,1,6,3.446569709525943,0,evening,56
power_outage,95,1,0,0,0.14634102706115626,0,4,5.41057748331105,0,morning,34
gas_leak,59,0,5,1,0.05574957135273398,1,5,1.4161533754490896,0,afternoon,67
infrastructure_failure,8,1,3,1,0.2479768275490215,0,3,3.0168753927037377,0,night,24
power_outage,47,1,1,0,0.54661270294315,0,1,1.0728484479652525,0,afternoon,27
road_accident,107,0,2,0,0.0,0,3,0.3277972165540195,0,evening,59
violence,113,1,2,0,0.10435312694594391,1,5,1.5298900553210681,0,night,89
gas_leak,45,1,0,0,0.3510352716369476,1,7,3.7316129726012917,0,morning,75
violence,116,0,3,0,0.3705521435436021,0,2,4.984328951178964,0,morning,24
power_outage,51,0,3,0,0.0,0,4,0.29073153643247407,0,evening,41
fire,9,1,2,0,0.3188757684694361,0,2,3.1758077035361665,0,afternoon,44
gas_leak,69,1,1,0,0.04356398458897373,0,3,0.05514793417752317,1,evening,70
fire,88,0,4,0,0.0,0,1,0.708238330040103,0,afternoon,47
violence,106,0,0,0,0.2921831276049703,0,7,3.098726627758375,1,afternoon,65
road_accident,89,1,2,2,0.3582225478202613,0,7,1.417720248825458,0,night,42
road_accident,85,1,2,1,0.07630354570727638,0,3,6.443583217271727,1,morning,44
road_accident,37,1,2,0,0.0,0,2,6.189305663365925,0,afternoon,42
medical_emergency,72,1,3,1,0.10202669366342747,0,6,10.559290934757666,0,afternoon,39
fire,42,0,3,1,0.09021614624706524,0,3,3.8015479130963223,1,afternoon,51
infrastructure_failure,73,0,1,0,0.4018138656625828,0,1,7.354091943464445,0,night,17
medical_emergency,79,0,3,0,0.5775851340209588,1,2,4.814067407029341,1,evening,71
road_accident,47,1,4,1,0.36545538062319016,0,1,2.293606074457175,0,night,46
flood,43,0,1,0,0.006596510603602168,0,4,2.691609847768401,0,evening,30
violence,66,1,3,0,0.0,1,6,6.238274388998489,0,afternoon,76
fire,53,1,2,0,0.3190992437692509,0,6,0.36386618313529073,0,night,60
gas_leak,118,1,1,0,0.15155560071357632,0,5,7.723163183354551,0,afternoon,48
power_outage,35,1,2,0,0.0,0,6,2.288492721665153,0,evening,40
flood,10,1,3,0,0.35186499494347767,0,2,4.4624824349164145,0,evening,36
flood,95,1,0,0,0.38486825339199693,0,7,2.112193813403628,0,afternoon,34
flood,35,1,2,0,0.353907142889177,0,1,5.270853459611116,0,night,35
violence,22,0,3,0,0.3496697960476992,1,4,5.255800307055436,0,night,69
gas_leak,8,1,1,0,0.08325696265482199,1,7,5.400631809917381,0,morning,80
flood,46,0,1,0,0.5253735450207234,0,3,7.111142980989092,0,evening,23
road_accident,84,0,2,2,0.046496427047618055,0,3,9.301836038091594,1,night,46
power_outage,115,0,1,0,0.5636853158767033,0,6,2.024069234328703,0,night,29
flood,101,1,1,0,0.4186114421200047,0,5,4.424506727867847,1,night,40
fire,65,1,0,0,0.30048848198629186,0,6,1.3446852135097886,0,morning,56
infrastructure_failure,26,0,2,0,0.09331349186772084,0,2,5.135640576741745,0,morning,18
gas_leak,15,1,1,0,0.0,0,4,1.4578151549568088,0,morning,59
road_accident,112,0,3,0,0.14345815749412344,0,4,4.3710112861077,1,night,57
flood,108,0,3,0,0.24209571818166448,0,2,6.062979941640631,0,morning,15
power_outage,80,0,0,1,0.0,0,2,8.162328851903691,0,afternoon,0
medical_emergency,46,1,2,0,0.25170905252493686,0,7,5.576174112663297,1,night,69
gas_leak,63,1,1,1,0.20721029280770575,1,6,4.917948325736194,1,evening,83
violence,69,0,0,0,0.16843101451660694,0,2,3.290378488338733,0,evening,44
road_accident,32,1,1,1,0.5977290036876279,0,3,1.9231879635912312,0,night,36
flood,68,1,0,2,0.3245093641834884,0,1,2.4942168762853356,0,evening,9
violence,59,1,1,1,0.16802750744420225,1,4,6.804775820590162,0,evening,61
gas_leak,93,1,1,0,0.21121699028143506,0,2,0.6222696013214977,0,morning,60
power_outage,26,0,3,0,0.0330301186658678,0,5,1.3274494826606116,0,morning,38
road_accident,84,1,3,0,0.3886767141815497,1,2,1.6560117388706308,0,morning,53
gas_leak,68,1,0,0,0.18832432693284298,0,6,6.027861738596246,0,evening,53
power_outage,119,0,2,0,0.3818682763909874,0,2,2.5193335884469326,1,evening,44
flood,106,1,3,1,0.3856778674133063,0,3,4.904795297988718,0,night,35
gas_leak,109,0,0,1,0.2702501258707183,0,4,1.884957887274769,0,night,43
infrastructure_failure,21,0,1,0,0.10529060546597063,0,7,3.666378912458888,0,morning,30
flood,54,1,2,0,0.41140098793787727,0,2,6.112617017518227,0,night,8
gas_leak,29,0,0,1,0.20328544295410034,0,3,9.849744435241046,1,evening,45
road_accident,25,1,2,0,0.1825813366150807,0,4,6.149517778835511,0,night,38
medical_emergency,27,1,2,0,0.31335311259357285,0,4,1.1647452307075916,0,morning,65
violence,115,1,2,0,0.188128201966059,0,2,6.1943042754963615,0,evening,41
power_outage,67,0,2,0,0.06281597926746238,0,4,2.917046940250628,0,evening,24
flood,9,0,0,0,0.1056831170063629,0,2,8.226976155784879,0,afternoon,2
fire,100,1,1,0,0.3247067378541661,0,3,0.13451058873245803,0,evening,72
gas_leak,57,1,2,0,0.42944309294230754,0,5,1.0016010095327759,0,afternoon,51
power_outage,82,1,4,0,0.0556454716790748,0,3,0.43098468799010226,1,morning,65
power_outage,43,1,1,0,0.0,0,7,2.8473651707869676,0,night,47
violence,38,1,2,0,0.18492600163125772,0,6,4.816791872473239,0,night,57
road_accident,22,0,1,0,0.28994209530427884,1,3,4.946696370952675,0,morning,54
road_accident,10,1,0,1,0.3653756768066003,0,7,5.4174231258339125,1,night,57
fire,102,1,4,0,0.212622487843672,1,1,3.844649431093221,0,night,76
gas_leak,99,0,1,0,0.12710654096373358,0,1,5.366255994470709,0,afternoon,40
infrastructure_failure,86,1,4,0,0.17986752126446368,0,6,2.5040816732790265,0,night,50
power_outage,109,0,3,0,0.34721441807169884,0,2,2.8190782509600956,0,morning,20
flood,97,0,2,0,0.1580974399306195,0,5,5.100126626786608,0,morning,33
gas_leak,111,1,3,1,0.2581354535518746,0,7,0.32342938112474906,0,evening,81
flood,13,0,2,1,0.3114349704898418,0,7,2.6738802425931008,0,morning,35
violence,51,0,1,0,0.0,0,3,5.7343813447878365,0,afternoon,36
power_outage,65,0,1,0,0.13819966834655917,0,5,6.012856264348228,0,night,32
fire,44,0,1,1,0.1545629867793381,1,7,4.9944464039611685,0,evening,67
road_accident,55,1,1,0,0.0,0,7,0.49442774693339864,0,afternoon,62
medical_emergency,22,0,3,0,0.0758936544485785,0,7,1.5928539132563733,0,morning,60
flood,15,1,4,1,0.5174514573951423,0,2,5.398793129211543,0,evening,26
flood,82,0,1,0,0.21264389991589036,0,7,5.1123086814025385,1,morning,30
power_outage,27,1,5,0,0.017879388369889893,0,5,2.7782565507721118,0,evening,50
gas_leak,79,1,2,0,0.1069893122799763,0,2,3.9572931023475775,0,evening,56
medical_emergency,102,0,3,0,0.20801938980280724,0,7,0.4945490219458928,0,morning,72
infrastructure_failure,45,1,2,1,0.29117471930113803,0,3,0.6347940980578732,0,evening,26
flood,66,0,4,0,0.23348948679384626,1,7,6.365715185574807,0,morning,48
fire,35,1,4,1,0.2548085963024261,1,6,2.2453522204246203,1,morning,89
infrastructure_failure,59,1,2,0,0.10885446756592984,0,4,3.7833643826660825,0,afternoon,19
power_outage,39,0,1,0,0.34866624494551757,0,7,2.7663500497942146,0,morning,18
power_outage,23,0,2,0,0.20402309989394582,0,1,1.3293501390069569,0,afternoon,21
fire,62,0,3,0,0.1671029609627663,0,3,3.1802312709094527,0,morning,50
road_accident,15,1,1,1,0.24277567813399265,1,1,0.8363662214158376,0,afternoon,68
power_outage,44,0,2,0,0.30164259226390033,0,4,4.196859058758202,0,afternoon,27
road_accident,101,1,0,0,0.2245864731317107,0,4,4.005037752683116,0,night,52
fire,56,1,3,1,0.06705243526114787,0,1,5.278504589251934,0,evening,47
fire,107,0,3,0,0.09080645108201521,1,2,3.4456191754287993,0,morning,57
gas_leak,77,1,3,0,0.36873720261144427,0,7,5.741790829713469,0,morning,53
flood,14,0,2,0,0.0,0,1,1.8835649303600397,0,morning,12
fire,67,0,3,0,0.3308634753237347,0,3,3.473547136390986,0,evening,50
road_accident,69,1,5,0,0.14572526676151754,1,1,0.23423404997446173,0,evening,73
power_outage,105,1,1,0,0.5015605728681336,0,2,0.33797235493331934,0,evening,27
road_accident,74,0,3,0,0.1444784972578085,0,1,5.904598904365075,0,night,38
medical_emergency,106,1,3,0,0.43422268723240853,1,4,0.8689004518777059,0,night,86
fire,58,0,2,1,0.5663956622095271,1,2,7.882607696494397,0,afternoon,50
violence,45,1,2,0,0.13744551034660557,0,2,3.735904434522136,0,evening,45
gas_leak,111,1,1,1,0.47582846886577196,0,7,4.425180752988952,0,night,57
road_accident,95,1,0,0,0.2145471310104709,0,5,9.16951952505407,0,night,42
road_accident,62,1,2,1,0.30899245720234975,0,4,3.6416965493502724,0,night,51
flood,62,0,2,0,0.3789946150773652,1,5,5.7755027160840084,0,morning,29
gas_leak,21,1,2,0,0.24398896289549254,0,3,4.747943067486548,0,afternoon,46
flood,116,0,1,1,0.2002687715654216,0,7,2.8323269291034414,0,evening,42
flood,111,0,1,0,0.0,0,3,6.9486148842308495,0,morning,15
violence,108,0,0,0,0.15214567395989229,1,7,3.0247968725391505,1,evening,83
power_outage,70,1,0,1,0.22884146563041308,1,6,1.0467306484808523,0,evening,60
infrastructure_failure,8,1,2,1,0.4361496721277701,0,1,4.859750686646093,0,morning,14
gas_leak,43,0,4,0,0.15018481445991444,0,2,1.8503455700419924,0,night,50
fire,33,1,5,1,0.04695152956457477,1,5,4.869779487587106,0,afternoon,80
violence,88,0,1,0,0.073752031059958,0,6,1.2295875560687777,0,night,53
medical_emergency,64,1,2,1,0.16077859262865749,1,5,6.089401400938742,0,afternoon,60
gas_leak,29,0,3,0,0.1975694159732642,1,7,1.0651874269952075,0,night,78
gas_leak,104,0,2,0,0.4187420388171979,0,1,0.5715665827689285,0,night,47
medical_emergency,25,1,0,1,0.6983072490126698,1,4,2.9465858195949,1,afternoon,75
fire,89,1,1,0,0.11505478987738911,0,7,7.431927922130271,1,afternoon,58
road_accident,93,0,1,2,0.12357233011601436,0,4,4.374802503907814,1,night,56
road_accident,87,0,4,0,0.1230299484327212,1,6,2.5682046665402836,0,evening,69
medical_emergency,15,0,0,0,0.06323561624220048,1,3,1.9379660256385849,1,night,81
flood,37,1,1,1,0.003973560403808446,1,4,5.315584825306875,0,afternoon,50
gas_leak,53,1,3,0,0.01602853461068171,1,7,1.3804335294356211,1,morning,94
power_outage,62,1,2,0,0.12690013573578743,0,5,5.31483254738719,1,evening,46
gas_leak,78,1,3,2,0.2895502823542501,1,7,5.048318574695408,0,evening,73
road_accident,52,1,2,0,0.22443194766567837,0,6,4.645471751547815,1,night,52
flood,63,1,3,0,0.6625542507860249,0,4,2.1289175407008645,0,afternoon,36
violence,40,1,6,0,0.45447853669242655,0,4,2.202186128250147,1,night,71
road_accident,75,0,1,1,0.1564529188276485,0,7,0.005042911740337885,1,afternoon,54
power_outage,82,0,4,0,0.2659891244624849,0,4,5.8837943168718425,0,evening,25
power_outage,109,0,0,0,0.3460520128720718,1,3,1.5418058422376615,0,afternoon,44
road_accident,107,1,2,0,0.1291967975318829,0,2,0.8644924828505434,0,afternoon,46
gas_leak,84,0,0,0,0.10885995874437938,1,4,5.6903533608555374,0,evening,65
medical_emergency,119,0,3,0,0.3650476221310507,0,4,5.780046929447197,0,night,48
gas_leak,36,1,2,1,0.3488309535276406,0,7,3.271179699005671,1,afternoon,58
flood,32,0,2,1,0.27812929455399754,0,5,4.333544333166239,0,night,24
violence,86,0,4,2,0.1826817928326958,1,2,4.069646942096518,0,evening,54
road_accident,100,1,0,0,0.3061732950784357,1,2,5.931675196287946,0,night,60
infrastructure_failure,34,0,2,0,0.24890304521000553,0,7,6.999750632776756,0,evening,32
infrastructure_failure,70,1,2,0,0.07563065572209916,0,5,1.0739193957393902,0,night,48
medical_emergency,93,0,2,0,0.20843946591317433,1,1,2.835376240359704,1,evening,89
fire,30,1,3,0,0.3783279523923353,0,2,3.170641333707249,1,morning,49
power_outage,90,1,2,0,0.16387666069244067,0,6,2.609669114900682,0,afternoon,27
gas_leak,102,0,2,0,0.13085781337828994,0,2,4.318766877205438,0,morning,46
medical_emergency,54,1,3,0,0.19614773037634436,0,2,3.4619837006651486,1,night,70
medical_emergency,108,1,3,0,0.2561618922692089,1,2,3.0958732739714954,0,morning,73
power_outage,17,0,1,0,0.4198562468105514,0,1,1.9427711878853426,1,night,26
medical_emergency,111,1,2,0,0.24306179004200756,1,5,2.6728361254258943,0,afternoon,74
flood,14,0,2,1,0.0,0,1,6.855733202138994,0,evening,9
gas_leak,112,0,1,0,0.0,0,1,6.0973255132033,0,night,33
gas_leak,48,1,4,0,0.39751137893750277,0,7,4.547124896792091,0,night,55
road_accident,38,0,6,0,0.28983989122380943,0,6,3.9949145337020213,0,afternoon,52
medical_emergency,74,1,3,0,0.18772354454011958,1,2,0.405217248368972,0,evening,70
power_outage,85,0,1,0,0.0,0,5,4.604180514141478,0,morning,24
gas_leak,111,0,0,1,0.17089761310139082,0,7,3.0158822837822714,1,morning,50
gas_leak,81,1,2,1,0.3098881287365952,0,6,3.3856995040182887,0,morning,56
violence,21,1,2,1,0.019541786169886027,0,2,6.182884649646585,0,night,51
flood,114,1,3,1,0.37565877499539535,1,4,0.9857583621860795,0,night,46
gas_leak,109,0,4,0,0.0007284773737740169,0,2,1.281314469801782,1,morning,63
road_accident,68,1,2,0,0.0,1,6,2.632884081423629,0,night,74
flood,94,0,1,0,0.3150426374261289,1,5,4.937653043681214,1,evening,59
violence,72,0,4,1,0.0,1,7,5.645075255298252,0,evening,67
fire,105,0,0,0,0.24663363268058042,0,4,0.1794111007534469,0,afternoon,55
power_outage,105,1,1,0,0.10082172964811882,0,6,3.4887741967903034,1,afternoon,39
road_accident,118,1,3,1,0.3721368871024487,1,5,6.755213931072742,0,morning,59
infrastructure_failure,19,1,5,1,0.6972832158916704,0,1,2.835382968373114,0,afternoon,12
road_accident,49,1,2,0,0.10919147249788531,0,5,2.4004486711355,0,morning,58
